date,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCurrently,positive,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease
2020-05-01,4300.0,12845.0,9878,54862.0,132383.0,5584488,264699,4707.0,1106547,32802,163554.0,6920201,283948
2020-05-02,4386.0,12905.0,1986,54009.0,134369.0,5792845,208357,4845.0,1135581,29034,174886.0,7184934,264733
2020-05-03,4502.0,12720.0,1854,52619.0,136223.0,6003339,210494,4761.0,1161121,25540,179614.0,7419811,234877
2020-05-04,4579.0,12696.0,1772,52377.0,137995.0,6203094,199755,4848.0,1183622,22501,186670.0,7647449,227638
2020-05-05,4794.0,12628.0,1936,53176.0,139931.0,6454899,251805,4818.0,1206132,22510,189316.0,7929028,281579
2020-05-06,4911.0,12478.0,2159,52581.0,142090.0,6691584,236685,4753.0,1231275,25143,189399.0,8219905,290877
2020-05-07,5174.0,12136.0,4176,51425.0,146266.0,6972048,280464,7070.0,1258502,27227,194375.0,8544510,324605
2020-05-08,6294.0,11780.0,6240,49758.0,152506.0,7245497,273449,6788.0,1285661,27159,198423.0,8854301,309791
2020-05-09,6367.0,11496.0,1669,48561.0,154175.0,7526982,281485,6551.0,1310841,25180,211899.0,9176364,322063
2020-05-10,6445.0,11393.0,1048,46760.0,155223.0,7771662,244680,6395.0,1331731,20890,215479.0,9448483,272119
2020-05-11,6488.0,11148.0,1369,46550.0,156592.0,8110849,339187,6350.0,1350029,18298,232012.0,9816950,368467
2020-05-12,6585.0,11240.0,1483,47344.0,158075.0,8411810,300961,6352.0,1372587,22558,238863.0,10158888,341938
2020-05-13,6713.0,10990.0,1791,46918.0,159866.0,8720573,308763,6156.0,1394215,21628,243359.0,10501737,342849
2020-05-14,6795.0,10655.0,3162,45924.0,163028.0,9055692,335119,5940.0,1420928,26713,246231.0,10886346,384609
2020-05-15,6890.0,10484.0,1313,44551.0,164341.0,9393988,338296,5746.0,1446350,25422,250665.0,11292825,406479
2020-05-16,6945.0,10278.0,1798,43507.0,166139.0,9728470,334482,5529.0,1469936,23586,268206.0,11668027,375202
2020-05-17,7003.0,9934.0,1130,42022.0,167269.0,10081830,353360,5467.0,1490088,20152,272009.0,12023539,355512
2020-05-18,7064.0,9754.0,1133,41921.0,168402.0,10398267,316437,5257.0,1510932,20844,282949.0,12368526,344987
2020-05-19,7217.0,9598.0,1549,42023.0,169951.0,10794855,396588,5032.0,1531814,20882,289283.0,12787844,419318
2020-05-20,7319.0,9521.0,1759,41871.0,171710.0,11200629,405774,4911.0,1553073,21259,294133.0,13245200,457356
2020-05-21,7412.0,9090.0,4547,41347.0,176257.0,11654550,453921,4868.0,1579815,26742,298183.0,13756644,511444
2020-05-22,7689.0,9049.0,3945,40014.0,180202.0,12071712,417162,4716.0,1603988,24173,349936.0,14204044,447400
2020-05-23,7770.0,8733.0,1383,38581.0,181585.0,12470722,399010,4620.0,1626353,22365,361116.0,14653466,449422
2020-05-24,7801.0,8485.0,1027,37757.0,182612.0,12842973,372251,4383.0,1645213,18860,366510.0,15036083,382617
2020-05-25,7847.0,8467.0,901,37711.0,183513.0,13235430,392457,4237.0,1663744,18531,378892.0,15442574,406491
2020-05-26,7899.0,8585.0,17287,37775.0,200800.0,13523373,287943,4215.0,1680722,16978,384609.0,15758800,316226
2020-05-27,8015.0,8547.0,1563,38297.0,202363.0,13816680,293307,4222.0,1700133,19411,391223.0,16185469,426669
2020-05-28,8109.0,8389.0,1596,38003.0,203959.0,14259691,443011,4080.0,1722792,22659,477794.0,16675943,490474
2020-05-29,8235.0,8174.0,1565,36948.0,205524.0,14741791,482100,4032.0,1746380,23588,484191.0,17207272,531329
2020-05-30,8305.0,7956.0,1425,35735.0,206949.0,15149283,407492,4004.0,1769817,23437,494308.0,17659853,452581
2020-05-31,8445.0,7626.0,896,34911.0,207845.0,15520995,371712,3669.0,1791209,21392,522456.0,18080056,420203
